"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\LineTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 16, 94
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\ViewTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 11, 55
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\AppLogo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\LoadingIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 30, 88
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\OSIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\RemixAnimateIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 9, 56
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\RemixIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 4, 34
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\lotties\LottieFrame.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 10, 48
"e:\Workspace\Applications\talex-touch\app\core\src\components\icon\svg\IdentifiedIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Applications\talex-touch\app\core\src\components\market\MarketItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 5, 27
"e:\Workspace\Applications\talex-touch\app\core\src\components\menu\TouchMenu.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 24, 84
